S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
45,"Harsh Sharma",CE2023061,"student61@local.com","Civil Engineering","Structural Analysis",CE201,18/6/2026,ABSENT,manual,N/A,18/6/2026, 12:00:28 pm
46,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9100,17/6/2026, 2:00:54 pm
47,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9775,17/6/2026, 2:02:06 pm
48,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.9520,17/6/2026, 2:02:30 pm
49,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.8574,17/6/2026, 2:03:47 pm
50,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,17/6/2026,PRESENT,face,0.8022,17/6/2026, 2:02:32 pm
51,"Saanvi Sharma",ECE2023037,"student37@local.com","Electronics & Communication","Digital Electronics",ECE201,17/6/2026,ABSENT,manual,N/A,17/6/2026, 9:03:21 am
52,"Avni Sharma",ECE2023033,"student33@local.com","Electronics & Communication","Digital Electronics",ECE201,17/6/2026,ABSENT,manual,N/A,17/6/2026, 9:02:02 am
53,"Prisha Sharma",ECE2023029,"student29@local.com","Electronics & Communication","Digital Electronics",ECE201,17/6/2026,PRESENT,face,0.7856,17/6/2026, 9:04:39 am
54,"Ananya Sharma",ECE2023021,"student21@local.com","Electronics & Communication","Digital Electronics",ECE201,17/6/2026,PRESENT,face,0.8442,17/6/2026, 9:02:26 am
55,"Aanya Sharma",ECE2023025,"student25@local.com","Electronics & Communication","Digital Electronics",ECE201,17/6/2026,PRESENT,face,0.9788,17/6/2026, 9:00:28 am
56,"Meera Sharma",ME2023059,"student59@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.7725,17/6/2026, 2:03:56 pm
57,"Siddhi Sharma",ME2023058,"student58@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.7692,17/6/2026, 2:03:31 pm
58,"Shruti Sharma",ME2023055,"student55@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,LATE,face,0.7812,17/6/2026, 2:22:14 pm
59,"Priya Sharma",ME2023054,"student54@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.8579,17/6/2026, 2:00:37 pm
60,"Sneha Sharma",ME2023051,"student51@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.7677,17/6/2026, 2:00:08 pm
61,"Amit Sharma",ME2023050,"student50@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,ABSENT,manual,N/A,17/6/2026, 2:02:55 pm
62,"Yash Sharma",ME2023047,"student47@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,ABSENT,manual,N/A,17/6/2026, 2:03:39 pm
63,"Varun Sharma",ME2023046,"student46@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.9528,17/6/2026, 2:02:06 pm
64,"Raj Sharma",ME2023043,"student43@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,LATE,face,0.8506,17/6/2026, 2:16:25 pm
65,"Karan Sharma",ME2023042,"student42@local.com","Mechanical Engineering","Thermodynamics",ME301,17/6/2026,PRESENT,face,0.9147,17/6/2026, 2:04:09 pm
66,"Kavya Sharma",ECE2023039,"student39@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.7626,17/6/2026, 11:04:58 am
67,"Pihu Sharma",ECE2023038,"student38@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.8042,17/6/2026, 11:04:53 am
68,"Mahi Sharma",ECE2023035,"student35@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,ABSENT,manual,N/A,17/6/2026, 11:01:35 am
69,"Kiara Sharma",ECE2023034,"student34@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.9271,17/6/2026, 11:00:42 am
70,"Aisha Sharma",ECE2023031,"student31@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.9812,17/6/2026, 11:04:45 am
71,"Riya Sharma",ECE2023030,"student30@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.9871,17/6/2026, 11:00:11 am
72,"Aarohi Sharma",ECE2023027,"student27@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.7810,17/6/2026, 11:03:10 am
73,"Aadhya Sharma",ECE2023026,"student26@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.7892,17/6/2026, 11:01:57 am
74,"Myra Sharma",ECE2023023,"student23@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.7872,17/6/2026, 11:01:21 am
75,"Diya Sharma",ECE2023022,"student22@local.com","Electronics & Communication","Signals & Systems",ECE301,17/6/2026,PRESENT,face,0.8974,17/6/2026, 11:03:45 am
76,"Mihir Sharma",CE2023063,"student63@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.8255,16/6/2026, 11:01:38 am
77,"Riya Sharma",ECE2023030,"student30@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.8129,16/6/2026, 10:01:08 am
78,"Aarohi Sharma",ECE2023027,"student27@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.9839,16/6/2026, 10:02:40 am
79,"Aadhya Sharma",ECE2023026,"student26@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.7913,16/6/2026, 10:00:48 am
80,"Myra Sharma",ECE2023023,"student23@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.8659,16/6/2026, 10:03:17 am
81,"Diya Sharma",ECE2023022,"student22@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,LATE,face,0.9498,16/6/2026, 10:24:50 am
82,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,LATE,face,0.9008,16/6/2026, 11:18:57 am
83,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.7735,16/6/2026, 11:03:26 am
84,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.8871,16/6/2026, 11:03:34 am
85,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,ABSENT,manual,N/A,16/6/2026, 11:00:30 am
86,"Gauri Sharma",CE2023079,"student79@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.7747,16/6/2026, 11:02:21 am
87,"Eshani Sharma",CE2023078,"student78@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.8617,16/6/2026, 11:04:05 am
88,"Bhavya Sharma",CE2023075,"student75@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.9058,16/6/2026, 11:04:05 am
89,"Anika Sharma",CE2023074,"student74@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,ABSENT,manual,N/A,16/6/2026, 11:01:08 am
90,"Nandini Sharma",CE2023071,"student71@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.9781,16/6/2026, 11:03:04 am
91,"Shivansh Sharma",CE2023070,"student70@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,ABSENT,manual,N/A,16/6/2026, 11:01:19 am
92,"Arnav Sharma",CE2023067,"student67@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.9298,16/6/2026, 11:03:15 am
93,"Krish Sharma",CE2023066,"student66@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,LATE,face,0.8820,16/6/2026, 11:16:25 am
94,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.8422,16/6/2026, 11:02:48 am
95,"Parth Sharma",CE2023062,"student62@local.com","Civil Engineering","Geotechnical Engineering",CE301,16/6/2026,PRESENT,face,0.8701,16/6/2026, 11:02:43 am
96,"Riddhi Sharma",ME2023057,"student57@local.com","Mechanical Engineering","Engineering Mechanics",ME201,16/6/2026,PRESENT,face,0.8838,16/6/2026, 10:04:34 am
97,"Neha Sharma",ME2023053,"student53@local.com","Mechanical Engineering","Engineering Mechanics",ME201,16/6/2026,PRESENT,face,0.9662,16/6/2026, 10:02:11 am
98,"Rahul Sharma",ME2023049,"student49@local.com","Mechanical Engineering","Engineering Mechanics",ME201,16/6/2026,LATE,face,0.7924,16/6/2026, 10:23:14 am
99,"Aryan Sharma",ME2023045,"student45@local.com","Mechanical Engineering","Engineering Mechanics",ME201,16/6/2026,PRESENT,face,0.8095,16/6/2026, 10:04:22 am
100,"Rohan Sharma",ME2023041,"student41@local.com","Mechanical Engineering","Engineering Mechanics",ME201,16/6/2026,PRESENT,face,0.7874,16/6/2026, 10:01:23 am
101,"Kavya Sharma",ECE2023039,"student39@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.8478,16/6/2026, 10:01:12 am
102,"Pihu Sharma",ECE2023038,"student38@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.8678,16/6/2026, 10:00:37 am
103,"Mahi Sharma",ECE2023035,"student35@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.7889,16/6/2026, 10:02:11 am
104,"Kiara Sharma",ECE2023034,"student34@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.9190,16/6/2026, 10:01:35 am
105,"Aisha Sharma",ECE2023031,"student31@local.com","Electronics & Communication","VLSI Design",ECE302,16/6/2026,PRESENT,face,0.8848,16/6/2026, 10:00:21 am
106,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,15/6/2026,LATE,face,0.9397,15/6/2026, 9:20:12 am
107,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,15/6/2026,ABSENT,manual,N/A,15/6/2026, 9:02:08 am
108,"Chirag Sharma",CE2023064,"student64@local.com","Civil Engineering","Environmental Engineering",CE401,15/6/2026,PRESENT,face,0.9362,15/6/2026, 9:00:57 am
109,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.9770,15/6/2026, 10:01:43 am
110,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.8927,15/6/2026, 10:03:33 am
111,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.7762,15/6/2026, 10:00:50 am
112,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.7923,15/6/2026, 10:01:24 am
113,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,ABSENT,manual,N/A,15/6/2026, 10:03:12 am
114,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.9537,15/6/2026, 11:00:45 am
115,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8892,15/6/2026, 11:04:57 am
116,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,ABSENT,manual,N/A,15/6/2026, 11:04:48 am
117,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.9783,15/6/2026, 11:00:20 am
118,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8400,15/6/2026, 11:03:34 am
119,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8374,15/6/2026, 11:01:19 am
120,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,LATE,face,0.8183,15/6/2026, 11:23:29 am
121,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8660,15/6/2026, 11:03:37 am
122,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.7965,15/6/2026, 11:01:23 am
123,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,LATE,face,0.8584,15/6/2026, 11:20:47 am
124,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8165,15/6/2026, 1:03:57 pm
125,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,LATE,face,0.7601,15/6/2026, 1:17:14 pm
126,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8761,15/6/2026, 1:04:58 pm
127,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,ABSENT,manual,N/A,15/6/2026, 1:00:17 pm
128,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8615,15/6/2026, 1:00:10 pm
129,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8079,15/6/2026, 1:04:04 pm
130,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.9023,15/6/2026, 1:01:13 pm
131,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8594,15/6/2026, 1:00:51 pm
132,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.9807,15/6/2026, 1:01:10 pm
133,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,LATE,face,0.7771,15/6/2026, 1:16:32 pm
134,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,15/6/2026,PRESENT,face,0.8795,15/6/2026, 9:00:43 am
135,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,15/6/2026,PRESENT,face,0.7649,15/6/2026, 9:03:42 am
136,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,ABSENT,manual,N/A,12/6/2026, 10:04:48 am
137,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.9435,12/6/2026, 10:02:20 am
138,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8815,12/6/2026, 10:03:21 am
139,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.7689,12/6/2026, 10:01:01 am
140,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,ABSENT,manual,N/A,12/6/2026, 10:03:11 am
141,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8005,12/6/2026, 10:01:15 am
142,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8495,12/6/2026, 10:02:02 am
143,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.7938,12/6/2026, 10:00:49 am
144,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,LATE,face,0.8347,12/6/2026, 10:21:58 am
145,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.9171,12/6/2026, 10:03:44 am
146,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,12/6/2026,PRESENT,face,0.8247,12/6/2026, 10:02:06 am
147,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,12/6/2026,PRESENT,face,0.9813,12/6/2026, 10:03:31 am
148,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,12/6/2026,PRESENT,face,0.9424,12/6/2026, 10:02:12 am
149,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,12/6/2026,PRESENT,face,0.9737,12/6/2026, 10:04:26 am
150,"Chirag Sharma",CE2023064,"student64@local.com","Civil Engineering","Environmental Engineering",CE401,12/6/2026,ABSENT,manual,N/A,12/6/2026, 10:00:36 am
151,"Meera Sharma",ME2023059,"student59@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.9791,11/6/2026, 11:00:47 am
152,"Siddhi Sharma",ME2023058,"student58@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,ABSENT,manual,N/A,11/6/2026, 11:01:13 am
153,"Shruti Sharma",ME2023055,"student55@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.9148,11/6/2026, 11:02:22 am
154,"Priya Sharma",ME2023054,"student54@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.8840,11/6/2026, 11:04:41 am
155,"Sneha Sharma",ME2023051,"student51@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.7987,11/6/2026, 11:00:59 am
156,"Amit Sharma",ME2023050,"student50@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.9049,11/6/2026, 11:02:23 am
157,"Varun Sharma",ME2023046,"student46@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.7718,11/6/2026, 11:02:39 am
158,"Raj Sharma",ME2023043,"student43@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.8843,11/6/2026, 11:04:43 am
159,"Karan Sharma",ME2023042,"student42@local.com","Mechanical Engineering","Thermodynamics",ME301,11/6/2026,PRESENT,face,0.9102,11/6/2026, 11:01:21 am
160,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,11/6/2026,PRESENT,face,0.9123,11/6/2026, 1:04:08 pm
161,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.8533,11/6/2026, 9:03:14 am
162,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.7764,11/6/2026, 9:04:51 am
