S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
28,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8185,13/5/2026, 1:01:01 pm
29,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.7985,13/5/2026, 1:01:32 pm
30,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8892,13/5/2026, 1:02:11 pm
31,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.7558,13/5/2026, 1:01:54 pm
32,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8904,13/5/2026, 1:01:41 pm
33,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,ABSENT,manual,N/A,8/5/2026, 12:02:31 pm
34,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.7793,8/5/2026, 12:03:47 pm
35,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,ABSENT,manual,N/A,8/5/2026, 12:00:30 pm
36,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.7543,8/5/2026, 12:02:15 pm
37,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.7893,8/5/2026, 12:00:46 pm
38,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/5/2026,PRESENT,face,0.7791,6/5/2026, 10:04:26 am
39,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/5/2026,PRESENT,face,0.8227,6/5/2026, 10:02:48 am
40,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/5/2026,PRESENT,face,0.9025,6/5/2026, 10:04:02 am
41,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/5/2026,PRESENT,face,0.9507,6/5/2026, 10:02:48 am
42,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,6/5/2026,PRESENT,face,0.9743,6/5/2026, 10:03:30 am
43,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/4/2026,PRESENT,face,0.9425,16/4/2026, 12:02:25 pm
44,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/4/2026,PRESENT,face,0.8863,16/4/2026, 12:03:09 pm
45,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/4/2026,PRESENT,face,0.8757,16/4/2026, 12:04:59 pm
46,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/4/2026,PRESENT,face,0.9120,16/4/2026, 12:03:51 pm
47,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/4/2026,LATE,face,0.7511,16/4/2026, 12:17:57 pm
48,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.7725,14/4/2026, 10:04:31 am
49,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.8573,14/4/2026, 10:04:44 am
50,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.9227,14/4/2026, 10:01:55 am
51,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.7605,14/4/2026, 10:00:19 am
52,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/4/2026,PRESENT,face,0.9559,14/4/2026, 10:03:05 am
53,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,31/3/2026,PRESENT,face,0.8433,31/3/2026, 11:01:18 am
54,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,31/3/2026,ABSENT,manual,N/A,31/3/2026, 11:03:49 am
55,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,31/3/2026,ABSENT,manual,N/A,31/3/2026, 11:03:31 am
56,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,31/3/2026,ABSENT,manual,N/A,31/3/2026, 11:00:05 am
57,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,31/3/2026,PRESENT,face,0.9168,31/3/2026, 11:02:37 am
58,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/3/2026,PRESENT,face,0.8287,26/3/2026, 1:02:05 pm
59,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/3/2026,PRESENT,face,0.9459,26/3/2026, 1:02:38 pm
60,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/3/2026,PRESENT,face,0.9203,26/3/2026, 1:00:50 pm
61,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/3/2026,LATE,face,0.9262,26/3/2026, 1:19:51 pm
62,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/3/2026,PRESENT,face,0.9513,26/3/2026, 1:01:41 pm
63,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,24/3/2026,PRESENT,face,0.9134,24/3/2026, 12:01:35 pm
64,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,24/3/2026,PRESENT,face,0.8718,24/3/2026, 12:01:27 pm
65,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,24/3/2026,PRESENT,face,0.8627,24/3/2026, 12:01:26 pm
66,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,24/3/2026,PRESENT,face,0.9155,24/3/2026, 12:04:53 pm
67,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,24/3/2026,LATE,face,0.9453,24/3/2026, 12:15:41 pm
