S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
28,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.8871,16/6/2026, 11:03:34 am
29,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,PRESENT,face,0.8422,16/6/2026, 11:02:48 am
30,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,16/6/2026,LATE,face,0.9008,16/6/2026, 11:18:57 am
31,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,LATE,face,0.7601,15/6/2026, 1:17:14 pm
32,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,ABSENT,manual,N/A,15/6/2026, 10:03:12 am
33,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8079,15/6/2026, 1:04:04 pm
34,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8165,15/6/2026, 1:03:57 pm
35,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.7965,15/6/2026, 11:01:23 am
36,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8400,15/6/2026, 11:03:34 am
37,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8615,15/6/2026, 1:00:10 pm
38,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.7762,15/6/2026, 10:00:50 am
39,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.8927,15/6/2026, 10:03:33 am
40,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8374,15/6/2026, 11:01:19 am
41,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.9537,15/6/2026, 11:00:45 am
42,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,ABSENT,manual,N/A,15/6/2026, 11:04:48 am
43,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8761,15/6/2026, 1:04:58 pm
44,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,LATE,face,0.8183,15/6/2026, 11:23:29 am
45,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,LATE,face,0.7771,15/6/2026, 1:16:32 pm
46,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.9783,15/6/2026, 11:00:20 am
47,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,ABSENT,manual,N/A,15/6/2026, 1:00:17 pm
48,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.9807,15/6/2026, 1:01:10 pm
49,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.8594,15/6/2026, 1:00:51 pm
50,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.7923,15/6/2026, 10:01:24 am
51,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8660,15/6/2026, 11:03:37 am
52,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,LATE,face,0.8584,15/6/2026, 11:20:47 am
53,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/6/2026,PRESENT,face,0.9770,15/6/2026, 10:01:43 am
54,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,15/6/2026,PRESENT,face,0.8892,15/6/2026, 11:04:57 am
55,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,15/6/2026,PRESENT,face,0.9023,15/6/2026, 1:01:13 pm
56,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.7689,12/6/2026, 10:01:01 am
57,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8495,12/6/2026, 10:02:02 am
58,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,LATE,face,0.8347,12/6/2026, 10:21:58 am
59,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,ABSENT,manual,N/A,12/6/2026, 10:04:48 am
60,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8815,12/6/2026, 10:03:21 am
61,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.9171,12/6/2026, 10:03:44 am
62,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,ABSENT,manual,N/A,12/6/2026, 10:03:11 am
63,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.9435,12/6/2026, 10:02:20 am
64,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.8005,12/6/2026, 10:01:15 am
65,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,12/6/2026,PRESENT,face,0.7938,12/6/2026, 10:00:49 am
66,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.7602,11/6/2026, 9:03:13 am
67,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.8533,11/6/2026, 9:03:14 am
68,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.7764,11/6/2026, 9:04:51 am
69,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.8413,11/6/2026, 9:00:37 am
70,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,11/6/2026,PRESENT,face,0.9387,11/6/2026, 9:01:46 am
71,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,10/6/2026,PRESENT,face,0.8873,10/6/2026, 12:00:06 pm
72,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,10/6/2026,PRESENT,face,0.8057,10/6/2026, 12:00:03 pm
73,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,10/6/2026,PRESENT,face,0.7852,10/6/2026, 12:00:35 pm
74,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,10/6/2026,PRESENT,face,0.8552,10/6/2026, 12:01:41 pm
75,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,10/6/2026,PRESENT,face,0.8949,10/6/2026, 12:00:59 pm
76,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,ABSENT,manual,N/A,4/6/2026, 2:00:34 pm
77,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/6/2026,PRESENT,face,0.8057,4/6/2026, 11:02:35 am
78,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,PRESENT,face,0.9175,4/6/2026, 2:02:10 pm
79,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,PRESENT,face,0.7711,4/6/2026, 2:01:19 pm
80,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,LATE,face,0.9379,4/6/2026, 2:15:34 pm
81,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,ABSENT,manual,N/A,4/6/2026, 2:02:02 pm
82,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,LATE,face,0.9269,4/6/2026, 2:24:28 pm
83,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,PRESENT,face,0.8348,4/6/2026, 2:00:04 pm
84,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/6/2026,PRESENT,face,0.9440,4/6/2026, 11:02:10 am
85,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,PRESENT,face,0.8500,4/6/2026, 2:04:51 pm
86,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,LATE,face,0.8825,4/6/2026, 2:22:58 pm
87,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,4/6/2026,LATE,face,0.8690,4/6/2026, 2:17:17 pm
88,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/6/2026,ABSENT,manual,N/A,4/6/2026, 11:04:21 am
89,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/6/2026,ABSENT,manual,N/A,4/6/2026, 11:01:54 am
90,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/6/2026,PRESENT,face,0.9188,4/6/2026, 11:04:15 am
91,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.9741,3/6/2026, 10:04:24 am
92,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.9594,3/6/2026, 10:02:20 am
93,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.8458,3/6/2026, 11:02:51 am
94,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.7668,3/6/2026, 11:02:52 am
95,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,ABSENT,manual,N/A,3/6/2026, 11:01:38 am
96,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.9683,3/6/2026, 10:02:25 am
97,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,LATE,face,0.8083,3/6/2026, 10:22:43 am
98,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.7548,3/6/2026, 11:02:26 am
99,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,ABSENT,manual,N/A,3/6/2026, 11:03:30 am
100,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,ABSENT,manual,N/A,3/6/2026, 11:02:22 am
101,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,ABSENT,manual,N/A,3/6/2026, 10:03:55 am
102,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.9465,3/6/2026, 11:00:24 am
103,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,ABSENT,manual,N/A,3/6/2026, 10:00:46 am
104,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,ABSENT,manual,N/A,3/6/2026, 11:00:20 am
105,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.9321,3/6/2026, 10:00:16 am
106,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.8429,3/6/2026, 10:03:42 am
107,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,LATE,face,0.7611,3/6/2026, 10:16:53 am
108,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.7708,3/6/2026, 11:03:38 am
109,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,3/6/2026,PRESENT,face,0.8451,3/6/2026, 10:01:08 am
110,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,3/6/2026,PRESENT,face,0.9167,3/6/2026, 11:00:23 am
111,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.8003,2/6/2026, 1:04:26 pm
112,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.8328,2/6/2026, 1:03:14 pm
113,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,ABSENT,manual,N/A,2/6/2026, 1:01:11 pm
114,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.9490,2/6/2026, 1:02:45 pm
115,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.9818,2/6/2026, 1:00:11 pm
116,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.8663,2/6/2026, 1:00:47 pm
117,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.8918,2/6/2026, 1:04:23 pm
118,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,ABSENT,manual,N/A,2/6/2026, 1:00:37 pm
119,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.7519,2/6/2026, 1:04:27 pm
120,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,2/6/2026,PRESENT,face,0.9168,2/6/2026, 1:03:58 pm
121,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.9469,1/6/2026, 11:03:35 am
122,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.7781,1/6/2026, 11:03:40 am
123,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.9209,1/6/2026, 10:01:59 am
124,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.7589,1/6/2026, 11:00:11 am
125,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.9155,1/6/2026, 10:02:41 am
126,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.8457,1/6/2026, 10:01:40 am
127,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.8822,1/6/2026, 10:04:28 am
128,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.8636,1/6/2026, 11:03:18 am
129,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.8019,1/6/2026, 11:00:14 am
130,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.9303,1/6/2026, 11:03:44 am
131,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.8107,1/6/2026, 11:01:00 am
132,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,ABSENT,manual,N/A,1/6/2026, 11:04:51 am
133,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.9245,1/6/2026, 11:02:46 am
134,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,ABSENT,manual,N/A,1/6/2026, 10:03:09 am
135,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,1/6/2026,PRESENT,face,0.9612,1/6/2026, 11:01:09 am
136,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9801,28/5/2026, 2:00:48 pm
137,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8168,28/5/2026, 1:04:14 pm
138,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9869,28/5/2026, 1:04:43 pm
139,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.7696,28/5/2026, 2:04:01 pm
140,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.8903,28/5/2026, 2:00:38 pm
141,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,ABSENT,manual,N/A,28/5/2026, 1:01:56 pm
142,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,LATE,face,0.9116,28/5/2026, 2:17:31 pm
143,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9841,28/5/2026, 2:04:36 pm
144,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8970,28/5/2026, 1:04:14 pm
145,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,LATE,face,0.9169,28/5/2026, 2:16:42 pm
146,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.7965,28/5/2026, 1:03:11 pm
147,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9227,28/5/2026, 2:03:44 pm
148,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.7911,28/5/2026, 1:02:17 pm
149,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,ABSENT,manual,N/A,28/5/2026, 1:01:56 pm
150,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.8193,28/5/2026, 2:01:12 pm
151,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9342,28/5/2026, 2:03:03 pm
152,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9753,28/5/2026, 1:01:41 pm
153,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8211,28/5/2026, 1:00:04 pm
154,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9686,28/5/2026, 2:04:11 pm
155,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9105,28/5/2026, 1:02:34 pm
156,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.8037,27/5/2026, 12:03:33 pm
157,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.9178,27/5/2026, 12:01:18 pm
